user_id,taste_profile
32,"{""Crime-Noir Fan"": 1.0}"
33,"{""Prestige Awards Fan"": 1.0}"
34,"{""Action-Sci-Fi Fan"": 0.7, ""Bollywood Fan"": 0.3}"
35,"{""Prestige Awards Fan"": 1.0}"
36,"{""Drama Purist"": 1.0}"
37,"{""Prestige Awards Fan"": 1.0}"
38,"{""Action-Sci-Fi Fan"": 1.0}"
39,"{""Drama Purist"": 1.0}"
40,"{""Horror-Thriller Fan"": 1.0}"
41,"{""Animated-Family Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
42,"{""Crime-Noir Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
43,"{""Drama Purist"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
44,"{""Action-Sci-Fi Fan"": 1.0}"
45,"{""Crime-Noir Fan"": 0.7, ""Drama Purist"": 0.3}"
46,"{""Crime-Noir Fan"": 1.0}"
47,"{""Prestige Awards Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
48,"{""Bollywood Fan"": 1.0}"
49,"{""Animated-Family Fan"": 1.0}"
50,"{""Action-Sci-Fi Fan"": 1.0}"
51,"{""Prestige Awards Fan"": 1.0}"
52,"{""Romance-Comedy Fan"": 0.7, ""Drama Purist"": 0.3}"
53,"{""Bollywood Fan"": 1.0}"
54,"{""Horror-Thriller Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
55,"{""Romance-Comedy Fan"": 0.7, ""Drama Purist"": 0.3}"
56,"{""Romance-Comedy Fan"": 1.0}"
57,"{""Animated-Family Fan"": 1.0}"
58,"{""Romance-Comedy Fan"": 1.0}"
59,"{""Romance-Comedy Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
60,"{""Prestige Awards Fan"": 1.0}"
61,"{""Prestige Awards Fan"": 1.0}"
62,"{""Animated-Family Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
63,"{""Romance-Comedy Fan"": 0.7, ""Drama Purist"": 0.3}"
64,"{""Drama Purist"": 0.7, ""Romance-Comedy Fan"": 0.3}"
65,"{""Romance-Comedy Fan"": 0.7, ""Bollywood Fan"": 0.3}"
66,"{""Horror-Thriller Fan"": 1.0}"
67,"{""Drama Purist"": 1.0}"
68,"{""Crime-Noir Fan"": 1.0}"
69,"{""Romance-Comedy Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
70,"{""Action-Sci-Fi Fan"": 1.0}"
71,"{""Animated-Family Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
72,"{""Animated-Family Fan"": 1.0}"
73,"{""Drama Purist"": 0.7, ""Horror-Thriller Fan"": 0.3}"
74,"{""Action-Sci-Fi Fan"": 1.0}"
75,"{""Drama Purist"": 1.0}"
76,"{""Animated-Family Fan"": 0.7, ""Bollywood Fan"": 0.3}"
77,"{""Crime-Noir Fan"": 1.0}"
78,"{""Horror-Thriller Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
79,"{""Crime-Noir Fan"": 0.7, ""Bollywood Fan"": 0.3}"
80,"{""Action-Sci-Fi Fan"": 1.0}"
81,"{""Drama Purist"": 0.7, ""Crime-Noir Fan"": 0.3}"
82,"{""Prestige Awards Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
83,"{""Prestige Awards Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
84,"{""Prestige Awards Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
85,"{""Animated-Family Fan"": 1.0}"
86,"{""Prestige Awards Fan"": 1.0}"
87,"{""Romance-Comedy Fan"": 1.0}"
88,"{""Crime-Noir Fan"": 1.0}"
89,"{""Bollywood Fan"": 1.0}"
90,"{""Horror-Thriller Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
91,"{""Drama Purist"": 1.0}"
92,"{""Drama Purist"": 1.0}"
93,"{""Bollywood Fan"": 1.0}"
94,"{""Romance-Comedy Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
95,"{""Action-Sci-Fi Fan"": 1.0}"
96,"{""Animated-Family Fan"": 0.7, ""Bollywood Fan"": 0.3}"
97,"{""Prestige Awards Fan"": 1.0}"
98,"{""Bollywood Fan"": 1.0}"
99,"{""Prestige Awards Fan"": 1.0}"
100,"{""Bollywood Fan"": 1.0}"
101,"{""Animated-Family Fan"": 1.0}"
102,"{""Bollywood Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
103,"{""Horror-Thriller Fan"": 1.0}"
104,"{""Bollywood Fan"": 1.0}"
105,"{""Horror-Thriller Fan"": 1.0}"
106,"{""Animated-Family Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
107,"{""Romance-Comedy Fan"": 1.0}"
108,"{""Crime-Noir Fan"": 1.0}"
109,"{""Animated-Family Fan"": 1.0}"
110,"{""Horror-Thriller Fan"": 1.0}"
111,"{""Romance-Comedy Fan"": 1.0}"
112,"{""Animated-Family Fan"": 1.0}"
113,"{""Horror-Thriller Fan"": 1.0}"
114,"{""Animated-Family Fan"": 1.0}"
115,"{""Romance-Comedy Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
116,"{""Crime-Noir Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
117,"{""Prestige Awards Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
118,"{""Prestige Awards Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
119,"{""Horror-Thriller Fan"": 1.0}"
120,"{""Horror-Thriller Fan"": 0.7, ""Bollywood Fan"": 0.3}"
121,"{""Action-Sci-Fi Fan"": 1.0}"
122,"{""Horror-Thriller Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
123,"{""Prestige Awards Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
124,"{""Horror-Thriller Fan"": 1.0}"
125,"{""Bollywood Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
126,"{""Horror-Thriller Fan"": 1.0}"
127,"{""Bollywood Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
128,"{""Bollywood Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
129,"{""Bollywood Fan"": 1.0}"
130,"{""Crime-Noir Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
131,"{""Crime-Noir Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
132,"{""Drama Purist"": 1.0}"
133,"{""Romance-Comedy Fan"": 1.0}"
134,"{""Crime-Noir Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
135,"{""Crime-Noir Fan"": 0.7, ""Drama Purist"": 0.3}"
136,"{""Bollywood Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
137,"{""Drama Purist"": 0.7, ""Crime-Noir Fan"": 0.3}"
138,"{""Crime-Noir Fan"": 1.0}"
139,"{""Crime-Noir Fan"": 1.0}"
140,"{""Romance-Comedy Fan"": 1.0}"
141,"{""Crime-Noir Fan"": 0.7, ""Drama Purist"": 0.3}"
142,"{""Bollywood Fan"": 1.0}"
143,"{""Drama Purist"": 1.0}"
144,"{""Animated-Family Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
145,"{""Action-Sci-Fi Fan"": 1.0}"
146,"{""Bollywood Fan"": 1.0}"
147,"{""Romance-Comedy Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
148,"{""Action-Sci-Fi Fan"": 1.0}"
149,"{""Crime-Noir Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
150,"{""Animated-Family Fan"": 1.0}"
151,"{""Bollywood Fan"": 1.0}"
152,"{""Horror-Thriller Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
153,"{""Action-Sci-Fi Fan"": 0.7, ""Drama Purist"": 0.3}"
154,"{""Drama Purist"": 1.0}"
155,"{""Crime-Noir Fan"": 1.0}"
156,"{""Prestige Awards Fan"": 0.7, ""Drama Purist"": 0.3}"
157,"{""Animated-Family Fan"": 1.0}"
158,"{""Prestige Awards Fan"": 1.0}"
159,"{""Prestige Awards Fan"": 1.0}"
160,"{""Bollywood Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
161,"{""Animated-Family Fan"": 0.7, ""Drama Purist"": 0.3}"
162,"{""Drama Purist"": 0.7, ""Horror-Thriller Fan"": 0.3}"
163,"{""Romance-Comedy Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
164,"{""Bollywood Fan"": 1.0}"
165,"{""Horror-Thriller Fan"": 0.7, ""Bollywood Fan"": 0.3}"
166,"{""Bollywood Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
167,"{""Horror-Thriller Fan"": 1.0}"
168,"{""Horror-Thriller Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
169,"{""Drama Purist"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
170,"{""Drama Purist"": 1.0}"
171,"{""Romance-Comedy Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
172,"{""Action-Sci-Fi Fan"": 1.0}"
173,"{""Bollywood Fan"": 1.0}"
174,"{""Animated-Family Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
175,"{""Crime-Noir Fan"": 0.7, ""Bollywood Fan"": 0.3}"
176,"{""Animated-Family Fan"": 1.0}"
177,"{""Drama Purist"": 1.0}"
178,"{""Drama Purist"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
179,"{""Horror-Thriller Fan"": 1.0}"
180,"{""Crime-Noir Fan"": 1.0}"
181,"{""Prestige Awards Fan"": 0.7, ""Drama Purist"": 0.3}"
182,"{""Romance-Comedy Fan"": 1.0}"
183,"{""Crime-Noir Fan"": 1.0}"
184,"{""Romance-Comedy Fan"": 1.0}"
185,"{""Horror-Thriller Fan"": 1.0}"
186,"{""Prestige Awards Fan"": 1.0}"
187,"{""Action-Sci-Fi Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
188,"{""Drama Purist"": 1.0}"
189,"{""Animated-Family Fan"": 1.0}"
190,"{""Animated-Family Fan"": 1.0}"
191,"{""Action-Sci-Fi Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
192,"{""Horror-Thriller Fan"": 1.0}"
193,"{""Animated-Family Fan"": 1.0}"
194,"{""Action-Sci-Fi Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
195,"{""Romance-Comedy Fan"": 1.0}"
196,"{""Action-Sci-Fi Fan"": 1.0}"
197,"{""Bollywood Fan"": 1.0}"
198,"{""Horror-Thriller Fan"": 1.0}"
199,"{""Animated-Family Fan"": 1.0}"
200,"{""Prestige Awards Fan"": 1.0}"
201,"{""Crime-Noir Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
202,"{""Bollywood Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
203,"{""Romance-Comedy Fan"": 1.0}"
204,"{""Horror-Thriller Fan"": 1.0}"
205,"{""Bollywood Fan"": 1.0}"
206,"{""Prestige Awards Fan"": 0.7, ""Bollywood Fan"": 0.3}"
207,"{""Action-Sci-Fi Fan"": 1.0}"
208,"{""Action-Sci-Fi Fan"": 1.0}"
209,"{""Romance-Comedy Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
210,"{""Bollywood Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
211,"{""Animated-Family Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
212,"{""Animated-Family Fan"": 0.7, ""Bollywood Fan"": 0.3}"
213,"{""Horror-Thriller Fan"": 0.7, ""Drama Purist"": 0.3}"
214,"{""Bollywood Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
215,"{""Bollywood Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
216,"{""Crime-Noir Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
217,"{""Romance-Comedy Fan"": 1.0}"
218,"{""Romance-Comedy Fan"": 1.0}"
219,"{""Drama Purist"": 0.7, ""Horror-Thriller Fan"": 0.3}"
220,"{""Prestige Awards Fan"": 1.0}"
221,"{""Crime-Noir Fan"": 1.0}"
222,"{""Prestige Awards Fan"": 1.0}"
223,"{""Drama Purist"": 1.0}"
224,"{""Drama Purist"": 1.0}"
225,"{""Action-Sci-Fi Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
226,"{""Romance-Comedy Fan"": 1.0}"
227,"{""Drama Purist"": 0.7, ""Bollywood Fan"": 0.3}"
228,"{""Romance-Comedy Fan"": 1.0}"
229,"{""Action-Sci-Fi Fan"": 1.0}"
230,"{""Horror-Thriller Fan"": 0.7, ""Drama Purist"": 0.3}"
231,"{""Horror-Thriller Fan"": 1.0}"
232,"{""Horror-Thriller Fan"": 1.0}"
233,"{""Animated-Family Fan"": 0.7, ""Bollywood Fan"": 0.3}"
234,"{""Animated-Family Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
235,"{""Drama Purist"": 1.0}"
236,"{""Horror-Thriller Fan"": 0.7, ""Bollywood Fan"": 0.3}"
237,"{""Bollywood Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
238,"{""Crime-Noir Fan"": 1.0}"
239,"{""Horror-Thriller Fan"": 1.0}"
240,"{""Crime-Noir Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
241,"{""Drama Purist"": 1.0}"
242,"{""Animated-Family Fan"": 1.0}"
243,"{""Crime-Noir Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
244,"{""Horror-Thriller Fan"": 1.0}"
245,"{""Prestige Awards Fan"": 1.0}"
246,"{""Romance-Comedy Fan"": 0.7, ""Drama Purist"": 0.3}"
247,"{""Crime-Noir Fan"": 1.0}"
248,"{""Drama Purist"": 0.7, ""Bollywood Fan"": 0.3}"
249,"{""Animated-Family Fan"": 1.0}"
250,"{""Animated-Family Fan"": 1.0}"
251,"{""Action-Sci-Fi Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
252,"{""Animated-Family Fan"": 1.0}"
253,"{""Prestige Awards Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
254,"{""Bollywood Fan"": 1.0}"
255,"{""Horror-Thriller Fan"": 0.7, ""Bollywood Fan"": 0.3}"
256,"{""Animated-Family Fan"": 1.0}"
257,"{""Prestige Awards Fan"": 1.0}"
258,"{""Horror-Thriller Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
259,"{""Crime-Noir Fan"": 1.0}"
260,"{""Romance-Comedy Fan"": 1.0}"
261,"{""Bollywood Fan"": 1.0}"
262,"{""Bollywood Fan"": 1.0}"
263,"{""Romance-Comedy Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
264,"{""Action-Sci-Fi Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
265,"{""Horror-Thriller Fan"": 1.0}"
266,"{""Action-Sci-Fi Fan"": 1.0}"
267,"{""Animated-Family Fan"": 1.0}"
268,"{""Drama Purist"": 1.0}"
269,"{""Drama Purist"": 1.0}"
270,"{""Romance-Comedy Fan"": 1.0}"
271,"{""Action-Sci-Fi Fan"": 1.0}"
272,"{""Romance-Comedy Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
273,"{""Bollywood Fan"": 1.0}"
274,"{""Prestige Awards Fan"": 1.0}"
275,"{""Romance-Comedy Fan"": 0.7, ""Bollywood Fan"": 0.3}"
276,"{""Crime-Noir Fan"": 0.7, ""Animated-Family Fan"": 0.3}"
277,"{""Romance-Comedy Fan"": 0.7, ""Crime-Noir Fan"": 0.3}"
278,"{""Animated-Family Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
279,"{""Animated-Family Fan"": 0.7, ""Bollywood Fan"": 0.3}"
280,"{""Drama Purist"": 1.0}"
281,"{""Romance-Comedy Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
282,"{""Romance-Comedy Fan"": 1.0}"
283,"{""Prestige Awards Fan"": 0.7, ""Action-Sci-Fi Fan"": 0.3}"
284,"{""Crime-Noir Fan"": 1.0}"
285,"{""Crime-Noir Fan"": 1.0}"
286,"{""Animated-Family Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
287,"{""Romance-Comedy Fan"": 1.0}"
288,"{""Crime-Noir Fan"": 1.0}"
289,"{""Romance-Comedy Fan"": 1.0}"
290,"{""Crime-Noir Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
291,"{""Drama Purist"": 1.0}"
292,"{""Bollywood Fan"": 1.0}"
293,"{""Action-Sci-Fi Fan"": 0.7, ""Bollywood Fan"": 0.3}"
294,"{""Bollywood Fan"": 1.0}"
295,"{""Horror-Thriller Fan"": 1.0}"
296,"{""Drama Purist"": 1.0}"
297,"{""Prestige Awards Fan"": 0.7, ""Horror-Thriller Fan"": 0.3}"
298,"{""Crime-Noir Fan"": 0.7, ""Prestige Awards Fan"": 0.3}"
299,"{""Prestige Awards Fan"": 0.7, ""Drama Purist"": 0.3}"
300,"{""Crime-Noir Fan"": 0.7, ""Romance-Comedy Fan"": 0.3}"
